PMID	MESH_ID	MESH_TERM
22209414	D001943	Mammary Carcinoma, Human
22210108	D001943	Tumors, Breast
22210108	D001943	Breast Tumor
22210191	D001943	Cancer, Breast
22210108	D001943	Cancer, Breast
22210087	D001943	Cancer, Breast
22209867	D001943	Cancer, Breast
22209285	D001943	Cancer, Breast
22209036	D001943	Cancer, Breast
22210241	D001943	Cancer, Breast
22209478	D001943	Cancer, Breast
22210039	D001943	Cancer, Breast
22208614	D001943	Cancer, Breast
22208971	D001943	Cancer, Breast
22209942	D001943	Cancer, Breast
22209153	D001943	Cancer, Breast
22208975	D001943	Cancer, Breast
22209414	D001943	Carcinoma, Human Mammary
22209414	D001943	Carcinomas, Human Mammary
22209414	D001943	Human Mammary Carcinomas
22209414	D001943	Mammary Carcinomas, Human
22210108	D001943	Tumor, Breast
22208747	D001991	Bronchitis
22210007	D001991	Bronchitis
22208788	D001991	Bronchitis
22209884	D001991	Bronchitis
22210102	D001991	Bronchitis
22210211	D002006	Brucellosis
22209354	D002037	Bundle-Branch Block
22209354	D002037	Bundle Branch Block
22209354	D002037	Right Bundle-Branch Block
22209354	D002037	Block, Bundle Branch
22209354	D002037	Block, Bundle-Branch
22209354	D002037	Block, Right Bundle-Branch
22209354	D002037	Branch Block, Bundle
22209354	D002037	Bundle-Branch Block, Right
22209354	D002037	Right Bundle Branch Block
22210079	D002056	Burns
22210055	D002056	Burns
22210078	D002056	Burns
22210058	D002056	Burns
22210066	D002056	Burns
22210074	D002056	Burns
22208608	D002056	Burns
22210059	D002056	Burns
22210060	D002056	Burns
22210069	D002056	Burns
22210080	D002056	Burns
22210055	D002056	Burn
22210066	D002056	Burn
22210069	D002056	Burn
22210062	D002056	Burn
22210080	D002056	Burn
22210060	D002056	Burn
22210064	D002056	Burn
22210058	D002056	Burn
22210061	D002056	Burn
22210071	D002056	Burn
22210057	D002056	Burn
22210059	D002056	Burn
22210081	D002056	Burn
22210056	D002056	Burn
22210063	D002056	Burn
22210065	D002056	Burn
22210079	D002056	Burn
22210067	D002056	Burn
22210073	D002056	Burn
22209607	D002102	Cadaver
22208828	D002102	Cadaver
22209235	D002102	Cadaver
22194427	D002102	Corpse
22208828	D002102	Cadavers
22209607	D002102	Cadavers
22209543	D002102	Cadavers
22209912	D002102	Cadavers
22208327	D002102	Cadavers
22196205	D002177	Candidiasis
22208945	D002277	Carcinoma
22209186	D002277	Carcinoma
22209341	D002277	Carcinoma
22209650	D002277	Carcinoma
22209974	D002277	Carcinoma
22208484	D002277	Carcinoma
22208386	D002277	Carcinoma
22208968	D002277	Carcinoma
22210006	D002277	Carcinoma
22210381	D002277	Carcinoma
22209504	D002277	Carcinoma
22208447	D002277	Carcinoma
22208688	D002277	Carcinoma
22208692	D002277	Carcinoma
22209183	D002277	Carcinoma
22209747	D002277	Carcinoma
22209887	D002277	Carcinoma
22209228	D002277	Carcinoma
22210180	D002277	Carcinoma
22208538	D002277	Carcinoma
21985978	D002277	Carcinoma
22202647	D002277	Carcinoma
22208720	D002277	Carcinoma
22209605	D002277	Carcinoma
22209984	D002277	Carcinoma
22207927	D002277	Carcinoma
22207928	D002277	Carcinoma
22208438	D002277	Carcinoma
22208963	D002277	Carcinoma
22209391	D002277	Carcinoma
22209446	D002277	Carcinoma
22209503	D002277	Carcinoma
22209574	D002277	Carcinoma
22209710	D002277	Carcinoma
22209849	D002277	Carcinoma
22209971	D002277	Carcinoma
22210035	D002277	Carcinoma
22210051	D002277	Carcinoma
22209101	D002277	Carcinoma
22209338	D002277	Carcinoma
22209340	D002277	Carcinoma
22209732	D002277	Carcinoma
22209835	D002277	Carcinoma
22208975	D002277	Carcinoma
22208496	D002277	Carcinoma
22208970	D002277	Carcinoma
22209172	D002277	Carcinoma
22209344	D002277	Carcinoma
22209414	D002277	Carcinoma
22209547	D002277	Carcinoma
22209648	D002277	Carcinoma
22209830	D002277	Carcinoma
22210138	D002277	Carcinoma
22209650	D002277	Carcinomas
22209340	D002277	Carcinomas
22208386	D002277	Carcinomas
22209294	D002277	Carcinomas
22210229	D002277	Carcinomas
22208496	D002277	Carcinomas
22208970	D002277	Carcinomas
22209414	D002277	Carcinomas
22210086	D002277	Carcinomas
22208975	D002278	Carcinoma in Situ
22209650	D002280	Carcinoma, Basal Cell
22208447	D002280	Carcinoma, Basal Cell
22202647	D002280	Carcinoma, Basal Cell
22209650	D002280	Basal Cell Carcinoma
22208447	D002280	Basal Cell Carcinoma
22202647	D002280	Basal Cell Carcinoma
22209650	D002280	Basal Cell Carcinomas
22209650	D002280	Carcinomas, Basal Cell
22210006	D002283	Bronchial Carcinoma
22207927	D002292	Carcinoma, Renal Cell
22209391	D002292	Carcinoma, Renal Cell
22209503	D002292	Carcinoma, Renal Cell
22207927	D002292	Chromophobe Renal Cell Carcinoma
22207927	D002292	Renal Cell Carcinoma
22209391	D002292	Renal Cell Carcinoma
22209503	D002292	Renal Cell Carcinoma
22209186	D002294	Carcinoma, Squamous Cell
22208692	D002294	Carcinoma, Squamous Cell
22209887	D002294	Carcinoma, Squamous Cell
22208386	D002294	Carcinoma, Squamous Cell
22208438	D002294	Carcinoma, Squamous Cell
22208968	D002294	Carcinoma, Squamous Cell
22208447	D002294	Carcinoma, Squamous Cell
22209101	D002294	Carcinoma, Squamous Cell
22209344	D002294	Carcinoma, Squamous Cell
22209648	D002294	Carcinoma, Squamous Cell
22202647	D002294	Carcinoma, Squamous Cell
22209186	D002294	Squamous Cell Carcinoma
22208692	D002294	Squamous Cell Carcinoma
22209887	D002294	Squamous Cell Carcinoma
22208386	D002294	Squamous Cell Carcinoma
22208438	D002294	Squamous Cell Carcinoma
22208968	D002294	Squamous Cell Carcinoma
22208447	D002294	Squamous Cell Carcinoma
22209101	D002294	Squamous Cell Carcinoma
22209344	D002294	Squamous Cell Carcinoma
22209648	D002294	Squamous Cell Carcinoma
22202647	D002294	Squamous Cell Carcinoma
22209650	D002294	Carcinomas, Squamous Cell
22208386	D002294	Carcinomas, Squamous Cell
22209732	D002294	Epidermoid Carcinoma
22209650	D002294	Squamous Cell Carcinomas
22208386	D002294	Squamous Cell Carcinomas
22209775	D002296	Carcinosarcoma
22209775	D002296	Carcinosarcomas
22209498	D002311	Cardiomyopathy, Dilated
22125211	D002318	Cardiovascular Diseases
22210145	D002318	Cardiovascular Diseases
22125210	D002318	Cardiovascular Diseases
22208140	D002318	Cardiovascular Diseases
22209926	D002318	Cardiovascular Diseases
22209929	D002318	Cardiovascular Diseases
22209965	D002318	Cardiovascular Diseases
22210125	D002318	Cardiovascular Diseases
22210237	D002318	Cardiovascular Diseases
22210293	D002318	Cardiovascular Diseases
22210142	D002318	Cardiovascular Disease
22208554	D002318	Cardiovascular Disease
22210145	D002318	Cardiovascular Disease
22209337	D002318	Cardiovascular Disease
22209479	D002318	Cardiovascular Disease
22210236	D002318	Cardiovascular Disease
22209675	D002318	Cardiovascular Disease
22209716	D002318	Cardiovascular Disease
22209966	D002318	Cardiovascular Disease
22208549	D002318	Cardiovascular Disease
22209480	D002318	Cardiovascular Disease
22209680	D002318	Cardiovascular Disease
22210143	D002318	Cardiovascular Disease
22210142	D002318	Disease, Cardiovascular
22208554	D002318	Disease, Cardiovascular
22210145	D002318	Disease, Cardiovascular
22209337	D002318	Disease, Cardiovascular
22209479	D002318	Disease, Cardiovascular
22210236	D002318	Disease, Cardiovascular
22209675	D002318	Disease, Cardiovascular
22209716	D002318	Disease, Cardiovascular
22209966	D002318	Disease, Cardiovascular
22208549	D002318	Disease, Cardiovascular
22209480	D002318	Disease, Cardiovascular
22209680	D002318	Disease, Cardiovascular
22210143	D002318	Disease, Cardiovascular
22125211	D002318	Diseases, Cardiovascular
22210145	D002318	Diseases, Cardiovascular
22125210	D002318	Diseases, Cardiovascular
22208140	D002318	Diseases, Cardiovascular
22209926	D002318	Diseases, Cardiovascular
22209929	D002318	Diseases, Cardiovascular
22209965	D002318	Diseases, Cardiovascular
22210125	D002318	Diseases, Cardiovascular
22210237	D002318	Diseases, Cardiovascular
22210293	D002318	Diseases, Cardiovascular
22182271	D002340	Artery Disease, Carotid
22182271	D002340	Carotid Artery Disease
22209392	D002386	Cataract
22208285	D002386	Cataract
22209002	D002446	Celiac Disease
22209739	D002446	Celiac Disease
22208988	D002446	Celiac Sprue
22208988	D002446	Sprue
22209002	D002446	Disease, Celiac
22209739	D002446	Disease, Celiac
22209960	D002481	Cellulitis
22136900	D002493	CNS Diseases
22209432	D002524	Cerebellar Ataxia
22209508	D002532	Aneurysm, Posterior Communicating Artery
22209508	D002532	Posterior Communicating Artery Aneurysm
22209508	D002532	Aneurysms, Intracranial
22209235	D002532	Aneurysms, Intracranial
22209508	D002532	Intracranial Aneurysms
22209235	D002532	Intracranial Aneurysms
22209247	D002543	Hemorrhage, Intracerebral
22210172	D002545	Ischemia, Cerebral
22182278	D002545	Ischemia, Cerebral
22210303	D002547	Cerebral Palsy
22208939	D002547	Cerebral Palsy
22209711	D002547	Cerebral Palsy
22208663	D002583	Cervical Cancer
22210293	D002583	Cervical Cancer
22208967	D002583	Cervical Cancer
22208447	D002583	Cervical Cancer
22209773	D002583	Cervical Cancer
22208720	D002637	Chest Pain
22208720	D002637	Pain, Chest
22208541	D002764	Cholecystitis
22208489	D002813	Chondrosarcoma
22208946	D002813	Chondrosarcoma
22209633	D002813	Chondrosarcoma
22209761	D002819	Dyskinesias, Paroxysmal
22209761	D002819	Paroxysmal Dyskinesias
22209045	D002822	Choriocarcinoma
22209045	D002822	Choriocarcinomas
22008573	D002908	Chronic Disease
22125017	D002908	Chronic Disease
22208645	D002908	Chronic Disease
22209056	D002908	Chronic Disease
22209200	D002908	Chronic Disease
22129662	D002908	Chronic Diseases
22209591	D002908	Chronic Diseases
22008573	D002908	Chronic Diseases
22209056	D002908	Chronic Diseases
22209927	D002908	Chronic Diseases
22008573	D002908	Disease, Chronic
22125017	D002908	Disease, Chronic
22208645	D002908	Disease, Chronic
22209056	D002908	Disease, Chronic
22209200	D002908	Disease, Chronic
22129662	D002908	Diseases, Chronic
22209591	D002908	Diseases, Chronic
22008573	D002908	Diseases, Chronic
22209056	D002908	Diseases, Chronic
22209927	D002908	Diseases, Chronic
22208788	D002916	Chylothorax
22208542	D003092	Colitis
22208453	D003092	Colitis
22125107	D003092	Colitis
22209716	D003092	Colitis
22209002	D003092	Colitis
22210207	D003092	Colitis
22208453	D003093	Colitis, Ulcerative
22125107	D003093	Colitis, Ulcerative
22210207	D003093	Colitis, Ulcerative
22208453	D003093	Ulcerative Colitis
22125107	D003093	Ulcerative Colitis
22210207	D003093	Ulcerative Colitis
22209392	D003103	Coloboma
22209659	D003110	Cancer of the Colon
22209417	D003110	Cancer, Colon
22209659	D003110	Cancer, Colon
22208882	D003110	Cancers, Colon
22208882	D003110	Colon Cancers
22209065	D003128	Coma
22207919	D003128	Coma
22208329	D003128	Coma
22194427	D003128	Coma
22208645	D003141	Communicable Diseases
22008579	D003141	Disease, Infectious
22209696	D003141	Disease, Infectious
22208645	D003141	Diseases, Communicable
22208481	D003141	Diseases, Infectious
22202643	D003141	Diseases, Infectious
22008579	D003141	Infectious Disease
22209696	D003141	Infectious Disease
22209987	D003231	Conjunctivitis
22209987	D003234	Conjunctivitis, Bacterial
22207923	D003240	Connective Tissue Disease
22207923	D003240	Disease, Connective Tissue
22208933	D003248	Constipation
22209965	D003251	Stenoses
22209053	D003251	Strictures
22210077	D003286	Contracture
22210060	D003286	Contracture
22209106	D003286	Contracture
22209212	D003286	Contracture
22210060	D003286	Contractures
22210077	D003286	Contractures
22209013	D003324	Coronary Artery Disease
22210145	D003324	Coronary Artery Disease
22125234	D003324	Coronary Artery Disease
22209965	D003324	Coronary Artery Disease
22210012	D003324	Coronary Artery Disease
22209013	D003324	Artery Disease, Coronary
22210145	D003324	Artery Disease, Coronary
22125234	D003324	Artery Disease, Coronary
22209965	D003324	Artery Disease, Coronary
22210012	D003324	Artery Disease, Coronary
22209013	D003324	Disease, Coronary Artery
22210145	D003324	Disease, Coronary Artery
22125234	D003324	Disease, Coronary Artery
22209965	D003324	Disease, Coronary Artery
22210012	D003324	Disease, Coronary Artery
22209625	D003371	Cough
22210102	D003371	Cough
22208720	D003371	Cough
22208439	D003371	Cough
22209884	D003371	Cough
22209625	D003371	Coughs
22208320	D003389	Cranial Nerve Palsy
22208326	D003389	Cranial Nerve Palsy
22208320	D003389	Palsy, Cranial Nerve
22208326	D003389	Palsy, Cranial Nerve
22208553	D003424	Crohn's Disease
22208453	D003424	Crohn's Disease
22125107	D003424	Crohn's Disease
22209202	D003424	Crohn's Disease
22209509	D003428	Infection, Nosocomial
22208721	D003428	Infection, Nosocomial
22209509	D003428	Nosocomial Infection
22208721	D003428	Nosocomial Infection
22125108	D003480	Cushing Syndrome
22209084	D003480	Hypercortisolism
22125107	D003480	Hypercortisolism
22125108	D003480	Syndrome, Cushing
22209446	D003528	Carcinoma, Adenoid Cystic
22209446	D003528	Adenoid Cystic Carcinoma
22209446	D003528	Cystic Carcinoma, Adenoid
22208482	D003550	Cystic Fibrosis
22208547	D003550	Cystic Fibrosis
22209734	D003550	Cystic Fibrosis
22208544	D003550	Cystic Fibrosis
22208546	D003550	Cystic Fibrosis
22208548	D003550	Cystic Fibrosis
22210114	D003550	Cystic Fibrosis
22208790	D003550	Cystic Fibrosis
22208482	D003550	Fibrosis, Cystic
22208547	D003550	Fibrosis, Cystic
22209734	D003550	Fibrosis, Cystic
22208544	D003550	Fibrosis, Cystic
22208546	D003550	Fibrosis, Cystic
22208548	D003550	Fibrosis, Cystic
22210114	D003550	Fibrosis, Cystic
22208790	D003550	Fibrosis, Cystic
22209718	D003554	Cystinosis
22208976	D003556	Cystitis
22209693	D003560	Cysts
22208319	D003560	Cysts
22208320	D003560	Cysts
22209544	D003560	Cysts
22209398	D003560	Cysts
22209008	D003560	Cysts
22209108	D003560	Cysts
22209246	D003560	Cysts
22208319	D003560	Cyst
22209008	D003560	Cyst
22209544	D003560	Cyst
22208320	D003560	Cyst
22210017	D003560	Cyst
22208313	D003560	Cyst
22209154	D003560	Cyst
22208942	D003638	Deafness
22194427	D003643	Death
22194437	D003643	Death
22209380	D003643	Death
22209426	D003643	Death
22194435	D003643	Death
22194426	D003643	Death
22209262	D003643	Death
22209846	D003643	Death
22008579	D003643	Death
22210364	D003643	Death
22194438	D003643	Death
22209738	D003643	Death
22194434	D003643	Death
22209892	D003643	Death
22209678	D003643	Death
22210004	D003643	Death
22210020	D003643	Death
22208773	D003643	Death
22182270	D003643	Death
22209273	D003643	Death
22209643	D003643	Death
22209337	D003643	Death
22209711	D003643	Death
22209828	D003643	Death
22209856	D003643	Death
22210063	D003643	Death
22182277	D003643	Death
22194436	D003643	Death
22194439	D003643	Death
22208291	D003643	Death
22208444	D003643	Death
22208446	D003643	Death
22208597	D003643	Death
22209266	D003643	Death
22209529	D003643	Death
22209835	D003643	Death
22209931	D003643	Death
22209961	D003643	Death
22210170	D003643	Death
22210229	D003643	Death
22208138	D003643	Death
22209617	D003643	Death
22125020	D003643	Death
22183095	D003643	Death
22196208	D003643	Death
22208437	D003643	Death
22208968	D003643	Death
22208977	D003643	Death
22209215	D003643	Death
22209293	D003643	Death
22209344	D003643	Death
22209519	D003643	Death
22209521	D003643	Death
22209594	D003643	Death
22209608	D003643	Death
22209681	D003643	Death
22209849	D003643	Death
22209925	D003643	Death
22209927	D003643	Death
22210018	D003643	Death
22210076	D003643	Death
22210094	D003643	Death
22210104	D003643	Death
22210143	D003643	Death
22210268	D003643	Death
22208075	D003643	Death
22208990	D003643	Death
22209053	D003643	Death
22209154	D003643	Death
22202647	D003643	Death
22210091	D003643	Death
22209380	D003645	Death, Sudden
22209380	D003645	Sudden Death
22209439	D003681	Dehydration
22209572	D003681	Dehydration
22210266	D003681	Dehydration
22208918	D003711	Demyelinating Disorders
22209870	D003711	Demyelination
22210304	D003711	Demyelination
22208078	D003715	Dengue
22208456	D003872	Dermatitis
22202646	D003872	Dermatitis
22209389	D003872	Dermatitis
22189255	D003872	Dermatitis
22189253	D003872	Dermatitis
22210036	D003872	Dermatitis
22202644	D003872	Dermatitis
22210038	D003872	Dermatitis
22208973	D003872	Dermatitis
22208456	D003876	Dermatitis, Atopic
22202646	D003876	Dermatitis, Atopic
22189255	D003876	Dermatitis, Atopic
22189253	D003876	Dermatitis, Atopic
22202644	D003876	Dermatitis, Atopic
22210038	D003876	Dermatitis, Atopic
22208456	D003876	Atopic Dermatitis
22202646	D003876	Atopic Dermatitis
22189255	D003876	Atopic Dermatitis
22189253	D003876	Atopic Dermatitis
22202644	D003876	Atopic Dermatitis
22210038	D003876	Atopic Dermatitis
22183099	D003882	Dermatomyositis
